Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=620,06/23/2012,Seattle Summer Classic,6-12-11,,,
competitions-view?id=598,06/22/2012,Mens Nationals,,,,
competitions-view?id=599,06/22/2012,Mens Nationals,,,,
competitions-view?id=573,05/19/2012,2012 USAPL Womens Nationals,,Nationals,,
competitions-view?id=626,05/12/2012,TWIN PORTS,5-12-4,,,
competitions-view?id=597,05/04/2012,2012 Master Nationals,5-12-3,,,
competitions-view?id=550,04/20/2012,12th World Masters Men's Bench Press Championships. USA. Aurora. CO. 20-22.04.2012,,,,
competitions-view?id=551,04/20/2012,12th World Masters Women's Bench Press Championships. USA. Aurora. CO. 20-22.04.2012,,,,
competitions-view?id=564,03/31/2012,2012 Equinox Raw Open,,,,
competitions-view?id=624,03/31/2012,THE BATTLE OF THE GREAT LAKES XV,3-12-17,,,
competitions-view?id=580,03/02/2012,Arnold Equipped,,,,
competitions-view?id=581,03/02/2012,Arnold Pro Bench,,,,
competitions-view?id=582,03/02/2012,Arnold Pro Deadlift,,,,
competitions-view?id=583,03/02/2012,Arnold Raw Challenge,,,,
competitions-view?id=588,02/12/2012,CA State 12 Feb 2013,,,,
competitions-view?id=568,01/14/2012,2012 USAPL Louisiana State Meet,1-12-3,,,
competitions-view?id=549,01/01/2012,0,,,,
competitions-view?id=554,01/01/2012,2012 Battle on the Border VI,,,,
competitions-view?id=555,01/01/2012,2012 Can-Am Police and Fire Open,,,,
competitions-view?id=558,01/01/2012,2012 Hudson Natural Open,,,,
competitions-view?id=559,01/01/2012,2012 Maryland State Powerlifting Championship,,,,
competitions-view?id=560,01/01/2012,2012 Southeastern High School State Wars,,,,
competitions-view?id=562,01/01/2012,2012 USAPL Aggie Showdown,,,,
competitions-view?id=563,01/01/2012,2012 USAPL Alaska State Powerlifting Championships,,,,
competitions-view?id=566,01/01/2012,2012 USAPL Georgia High School State Championships,,,,
competitions-view?id=567,01/01/2012,2012 USAPL Lone Star Raw Challenge,,,,
